YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2014,11,86488,18900,Cargurus.com
2022,3,33355,28907,Cargurus.com
2016,9,8506,29900,Cargurus.com
2018,7,83287,19998,Cargurus.com
2012,13,73300,17500,Cargurus.com
2023,2,30450,27555,Cargurus.com
2020,5,41482,34998,Cargurus.com
2013,12,125930,19812,Cargurus.com
2021,4,34320,39850,Cargurus.com
2019,6,59472,26695,Cargurus.com
2007,18,75609,13990,Cargurus.com
2010,15,30133,15997,Cargurus.com
1998,27,137000,7499,Cargurus.com
2004,21,163902,7495,Cargurus.com
1995,30,127244,11888,Cargurus.com
2006,19,109551,17888,Cargurus.com
2011,14,118350,12999,Cargurus.com
2015,10,101433,18998,Cargurus.com
