Date,Close/Last,Volume,Open,High,Low,Day
01/04/2016,184.31,4193516,183.77,184.32,182.08,1
01/05/2016,184.64,2882479,184.57,185.115,183.43,2
01/06/2016,182.3,2755089,181.93,183.38,181.19,3
01/07/2016,177.86,4838279,179.15,181,177.5,4
01/08/2016,175.97,7356661,178.965,179.53,175.65,5
01/11/2016,175.99,4481249,177.04,177.32,174.06,6
01/12/2016,177.45,2997949,177.75,178.36,175.26,7
01/13/2016,173.11,4125222,178.43,178.64,172.72,8
01/14/2016,175.92,5081372,173.79,177.18,172.06,9
01/15/2016,172.15,8087103,171.2,173.0585,170.1,10
01/19/2016,172.34,5863305,174.2,174.2899,170.72,11
01/20/2016,170.32,8576978,169.59,171.88,165.96,12
01/21/2016,171.15,3002510,170.79,173.14,169.33,13
01/22/2016,174.66,2609834,174.03,174.86,173.18,14
01/25/2016,172.07,2756649,174.1,174.33,171.8277,15
01/26/2016,174.4,2263672,172.85,174.66,172.39,16
01/27/2016,172.42,3538849,173.89,175.62,171.501,17
01/28/2016,173.36,2616488,174.13,174.3516,171.65,18
01/29/2016,177.75,4453035,174.34,177.75,174.08,19
02/01/2016,177.59,3920843,176.61,178.39,175.91,20
02/02/2016,174.37,5101168,175.86,176.09,173.8,21
02/03/2016,175.39,3871039,175.47,175.81,171.57,22
02/04/2016,175.61,3562207,174.95,176.7,174.23,23
02/05/2016,172.31,2371990,175.04,175.19,171.65,24
02/08/2016,169.94,3402016,170.29,170.6196,167.62,25
02/09/2016,169.99,2360700,168.18,171.3699,167.97,26
02/10/2016,169.88,1952905,170.93,172.65,169.72,27
02/11/2016,167.7,3436276,167.26,168.72,166.05,28
02/12/2016,171.14,1800434,169.54,171.14,168.6999,29
02/16/2016,174.01,2360975,173.2,174.01,172.05,30
02/17/2016,176.86,2264999,175.32,177.25,175.1248,31
02/18/2016,176.11,1646148,177.2,177.22,175.8,32
02/19/2016,176.07,1136909,175.28,176.2,174.6499,33
02/22/2016,178.59,2602993,177.78,178.75,177.71,34
02/23/2016,176.35,2075395,177.92,178.19,176.22,35
02/24/2016,177.18,2599802,174.79,177.45,173.6,36
02/25/2016,179.31,2546042,177.7,179.31,176.83,37
02/26/2016,178.98,2560772,180.2,180.36,178.74,38
02/29/2016,177.38,3125830,178.94,179.95,177.38,39
03/01/2016,181.75,3040855,178.84,181.75,178.33,40
03/02/2016,182.52,3839271,181.36,182.54,180.908,41
03/03/2016,183.19,3151173,182.27,183.23,181.7,42
03/04/2016,183.78,2820858,183.45,184.66,182.55,43
03/07/2016,183.98,3449325,182.85,184.389,182.75,44
03/08/2016,181.91,3384371,182.83,183.33,181.78,45
03/09/2016,182.91,1641079,182.85,183.22,182.01,46
03/10/2016,183.01,2089526,183.38,184.39,181.03,47
03/11/2016,185.98,2231094,184.57,186.01,184.46,48
03/14/2016,185.7,1412806,185.4,186.2,185.07,49
03/15/2016,185.46,1325297,184.7,185.46,184.42,50
03/16/2016,186.57,2700654,184.88,186.93,184.86,51
03/17/2016,187.75,1937606,186.42,188.235,186,52
03/18/2016,188.45,2623349,188.35,188.79,187.91,53
03/21/2016,187.73,1534929,187.18,187.94,186.91,54
03/22/2016,187.63,1520631,186.89,188.21,186.71,55
03/23/2016,186.43,1633330,187.18,187.36,186.18,56
03/24/2016,186.3,1874837,185.25,186.32,185.01,57
03/28/2016,186.43,1271260,186.76,186.94,185.92,58
03/29/2016,188.22,1604848,185.99,188.22,185.63,59
03/30/2016,189.01,1907700,189.17,189.72,188.58,60
03/31/2016,188.56,3007818,188.85,189.29,188.32,61
04/01/2016,189.77,2971762,187.4,189.96,187.1,62
04/04/2016,189.17,1258004,189.74,189.9,188.83,63
04/05/2016,187.25,1737537,187.74,188.21,187,64
04/06/2016,189.29,1856333,187.39,189.38,187.09,65
04/07/2016,187.06,2628239,188.17,188.5,186.26,66
04/08/2016,187.57,2043818,188.31,188.774,186.99,67
04/11/2016,187.08,1354533,188.26,188.99,187.03,68
04/12/2016,188.9,1591097,187.29,189.1799,186.83,69
04/13/2016,190.79,1971372,189.88,190.85,189.71,70
04/14/2016,190.77,3214759,190.84,191.31,190.41,71
04/15/2016,190.56,2059711,190.8,190.85,190.22,72
04/18/2016,191.94,2345283,189.99,191.94,189.85,73
04/19/2016,192.52,1633234,192.36,192.78,191.6401,74
04/20/2016,192.68,1636809,192.6,193.43,192.05,75
04/21/2016,191.61,1814185,192.7,192.82,191.37,76
04/22/2016,191.66,1863671,191.3,191.94,190.69,77
04/25/2016,191.35,2366327,191.07,191.36,190.35,78
04/26/2016,191.63,1709342,191.72,192.16,191.14,79
04/27/2016,192.03,1971845,191.21,192.44,190.8,80
04/28/2016,190.3,1573732,191.22,192.4,189.8495,81
04/29/2016,189.22,2785562,189.62,189.975,188.05,82
05/02/2016,190.73,1637728,189.81,190.95,189.34,83
05/03/2016,189.1,2347987,189.44,189.66,188.28,84
05/04/2016,187.99,2079084,187.99,188.78,187.47,85
05/05/2016,187.97,1609522,188.57,188.9,187.5711,86
05/06/2016,188.65,1551415,187.21,188.7199,187,87
05/09/2016,188.85,1552334,188.55,189.27,188.36,88
05/10/2016,191.19,1020385,189.61,191.21,189.54,89
05/11/2016,189.4,2724909,190.71,191.07,189.39,90
05/12/2016,189.51,1783364,190.14,190.2889,188.36,91
05/13/2016,187.76,1658717,189.1,189.71,187.46,92
05/16/2016,189.63,1075169,187.98,190.16,187.93,93
05/17/2016,187.96,3322895,189.35,189.65,187.33,94
05/18/2016,187.93,1937226,187.5,189.2,186.7776,95
05/19/2016,187.32,1795171,187.15,187.59,185.97,96
05/20/2016,188.49,1588695,187.97,189.05,187.9,97
05/23/2016,188.24,1415351,188.48,188.78,188.02,98
05/24/2016,190.63,1985454,189.13,191.01,189.08,99
05/25/2016,191.93,2006673,191.38,192.42,191.36,100
05/26/2016,192.02,1222786,192.14,192.36,191.68,101
05/27/2016,192.77,988553,192.19,192.83,192.16,102
05/31/2016,192.54,2818317,193.16,193.27,191.88,103
06/01/2016,192.9,2373135,191.88,193.06,191.63,104
06/02/2016,193.48,1601658,192.45,193.48,191.92,105
06/03/2016,192.92,1897245,192.85,193.26,191.59,106
06/06/2016,193.85,1177575,193.29,194.24,193.12,107
06/07/2016,194.2,1551220,194.05,194.78,194.015,108
06/08/2016,194.84,1041126,194.34,194.95,194.21,109
06/09/2016,194.54,1521518,194.02,194.6899,193.75,110
06/10/2016,192.67,1932075,193.07,193.4299,192.1172,111
06/13/2016,191.22,2315547,192.03,192.97,191.12,112
06/14/2016,190.8,2050387,190.83,191.4502,189.8,113
06/15/2016,190.52,1590651,191.26,191.96,190.36,114
06/16/2016,191.14,2744398,189.6,191.33,188.57,115
06/17/2016,190.43,1700645,191.1,191.1,189.73,116
06/20/2016,191.65,1192213,192.56,193.26,191.564,117
06/21/2016,191.24,1824423,191.15,191.65,190.65,118
06/22/2016,190.92,2240564,191.45,192.21,190.775,119
06/23/2016,193.39,2576541,192.52,193.44,192,120
06/24/2016,186.56,10310110,187,189.82,186,121
06/27/2016,183.05,7718752,185.06,185.06,182.27,122
06/28/2016,186.43,4474687,184.87,186.44,184.53,123
06/29/2016,189.64,4147566,187.95,189.86,187.86,124
06/30/2016,192.2,3821977,190.13,192.24,189.5276,125
07/01/2016,192.6,2170963,192.09,193.12,192.07,126
07/05/2016,191.25,2231597,191.73,191.82,190.57,127
