Date,Close/Last,Volume,Open,High,Low,Day
02/25/2020,304.87,2881835,315,316.565,304.4,0
02/26/2020,305.69,2239556,307.55,311.3,304.68,1
02/27/2020,293.13,3625276,301.98,305,293,2
02/28/2020,281.14,7096587,285.25,287.335,271.28,3
03/02/2020,309.14,7563779,294.44,309.51,291.377,4
03/03/2020,302.73,5131419,309.14,314.165,301.03,5
03/04/2020,320.74,4219326,308.29,320.97,305.0201,6
03/05/2020,315.76,6407662,315.77,324.51,313.2,7
03/06/2020,311.34,6185520,312.14,317.49,302.75,8
03/09/2020,301.98,5203087,295.85,310.33,293,9
03/10/2020,309.4,4245488,307.97,309.73,294.42,10
03/11/2020,297.43,3625906,300.86,307.79,294.19,11
03/12/2020,279.85,7307637,280.44,295.625,276.34,12
03/13/2020,302.27,6100115,288.83,303.245,278.27,13
03/16/2020,283.18,5465540,281.83,299.53,279.51,14
03/17/2020,306.99,7170645,289,307.19,286.3,15
03/18/2020,307.5,6701800,298,318,296,16
03/19/2020,305.22,5429502,310.41,313.8526,302.63,17
03/20/2020,290.42,6581183,307.92,308.01,287.02,18
03/23/2020,285.53,5646352,292.01,295.6721,278.4238,19
03/24/2020,284.94,7124190,294.59,297.35,282.8305,20
03/25/2020,280.86,5639577,284.21,290.7176,279.21,21
03/26/2020,292.3,5471961,281.34,293.7297,280.86,22
03/27/2020,284.33,4250350,287.13,293.49,283.33,23
03/30/2020,291.12,4395977,287.49,291.68,285.84,24
03/31/2020,285.13,5623886,287.42,291.52,284,25
04/01/2020,286.78,3745783,282.36,288.8,280.9,26
04/02/2020,291.48,3500595,284.38,292.78,282.82,27
04/03/2020,288.65,2650063,289.16,292.34,285.8,28
04/06/2020,305.12,5272534,293,305.49,289.57,29
04/07/2020,303.63,4036513,306.5,310,303.22,30
04/08/2020,305.97,3964434,305.11,307.42,302.28,31
04/09/2020,300.01,6492651,299.45,304.35,297.575,32
04/13/2020,299.62,3120354,298.58,303.95,297.66,33
04/14/2020,314.14,4288349,302.75,314.75,301.25,34
04/15/2020,310.27,2937330,311.64,313.75,306.82,35
04/16/2020,321.56,3940021,314.73,322.63,312.04,36
04/17/2020,317.92,3688002,321.31,322.1344,314.02,37
04/20/2020,312.08,3156287,317.95,318.38,311.53,38
04/21/2020,301.33,3832994,311.14,311.89,299.345,39
04/22/2020,309.42,2971194,304,311.13,302.04,40
04/23/2020,305.4,2625238,307.034,309.635,304.79,41
04/24/2020,310.55,2020576,307.33,310.83,305.5117,42
04/27/2020,308.78,2287280,313.05,313.29,307.59,43
04/28/2020,304.95,2425940,310.825,311.27,304.28,44
04/29/2020,307.09,3667703,304.95,308.6832,301.1206,45
04/30/2020,303,3794292,306.15,307.895,302.57,46
05/01/2020,301.92,2525566,301.78,304.8199,300.18,47
05/04/2020,304.49,2477537,303,305.53,300.07,48
05/05/2020,307.92,2461329,305.06,309.8,303.44,49
05/06/2020,308.89,2406651,309.92,311.04,306.54,50
05/07/2020,305,2606254,309.34,309.87,304.53,51
05/08/2020,305.94,2339313,305.9,307.18,303.7,52
05/11/2020,310.33,1865889,305.64,311.83,305,53
05/12/2020,304.84,2264914,310.84,311.545,304.79,54
05/13/2020,302.14,2954935,304.84,306.4,300.12,55
05/14/2020,299.74,3718907,301.01,302.88,294.535,56
05/15/2020,299.21,4577214,299.07,299.835,295.86,57
05/18/2020,302.76,3989551,301.721,303.19,299.92,58
05/19/2020,304.63,3522987,304.62,309.025,303.15,59
05/20/2020,304.91,2826982,306.77,307.918,303.2005,60
05/21/2020,301.97,2492065,304.79,305.04,301.25,61
05/22/2020,302.43,2366382,302.01,303.94,300.83,62
05/26/2020,304.8,3234571,306.01,306.9,303.5278,63
05/27/2020,306.01,2980169,304.56,306.31,299.47,64
05/28/2020,309.56,4331638,307.25,311,306.9,65
05/29/2020,308.47,4986799,304.2,308.88,302.35,66
06/01/2020,308.29,2295127,307.9,309.74,306.46,67
06/02/2020,307.09,2528938,307.95,309.02,304.72,68
06/03/2020,306.64,2165864,307.5,308.2,305.92,69
06/04/2020,310.75,4553928,310.85,315.35,309.09,70
06/05/2020,312.04,4375602,313.13,313.6283,307.29,71
06/08/2020,307.19,3764466,310.66,311.2911,306.46,72
06/09/2020,305.55,3155845,307.5,308.6,305.17,73
06/10/2020,307.33,2713706,306.48,308.63,305.65,74
06/11/2020,300.83,3443012,306.99,309.2,300.64,75
06/12/2020,298.7,4020006,302.67,305.15,296.25,76
06/15/2020,297.18,3273164,297.05,298.07,293.8394,77
06/16/2020,301.36,2641785,301.35,302.74,299.22,78
06/17/2020,299.61,2188401,301.02,302,298.9,79
06/18/2020,299.57,1881774,300,300.8062,297.79,80
06/19/2020,299.9,3432670,300.18,301.8999,298.64,81
06/22/2020,300.45,2094436,299.7,301.48,298.25,82
06/23/2020,301.29,2409639,301.73,304.9,300.73,83
06/24/2020,298.02,2398089,300.77,301.28,296.6,84
06/25/2020,300.53,2274283,297.06,301.15,295.4,85
06/26/2020,296.56,2865999,300.41,302.1173,295.95,86
06/29/2020,301.59,1841733,297.44,301.63,296.83,87
06/30/2020,303.21,2392034,301.01,304.62,300.1363,88
07/01/2020,304.75,1906372,302.5,305.58,300.75,89
07/02/2020,305.74,2540480,306,308.92,304.6006,90
07/06/2020,311.49,2332442,307.53,311.555,307.24,91
07/07/2020,316.23,3346634,310.02,318.05,309.72,92
07/08/2020,316.32,2364495,317.14,318.05,314.01,93
07/09/2020,325.54,5313636,320,328.98,319.68,94
07/10/2020,326.23,2484088,326,327.4,323.11,95
07/13/2020,322.92,2583423,326.3,329.1133,321.5,96
07/14/2020,328,1844806,321.318,328.66,320.451,97
07/15/2020,326.7,1770661,328.1,329.32,325.62,98
07/16/2020,326.27,1402091,326.62,327.9,324.06,99
07/17/2020,324.79,1768460,327.3,327.8,324.58,100
07/20/2020,326.51,1863548,324.891,327.435,322.6634,101
07/21/2020,327.74,1874532,327,331.49,326.5,102
07/22/2020,328.3,1313011,329.65,329.66,325.01,103
07/23/2020,326.11,1561673,328.1,330.38,325.33,104
07/24/2020,325.78,1423600,326.22,328.75,324.67,105
07/27/2020,327.6,2083279,325.68,329,325.18,106
07/28/2020,327.57,1374015,327.97,330,325.82,107
07/29/2020,326.14,1341333,327.02,328.04,325.385,108
07/30/2020,324.82,1390255,322.685,326.45,322,109
07/31/2020,325.53,2150823,324.82,326.31,322.55,110
