Timestamp,Yes_or_No,Age,Gender,Confidence_Level
4/9/2025 19:28:24,No,16,Female,7
4/9/2025 19:30:38,Yes,19,Female,9
4/9/2025 19:35:40,No,16,Female,10
4/9/2025 19:45:09,Yes,17,Female,8
4/9/2025 19:48:31,Yes,17,Female,9
4/9/2025 19:53:53,Yes,17,Male,10
4/9/2025 20:00:45,Yes,17,Male,3
4/9/2025 20:02:06,No,16,Female,10
4/9/2025 20:05:33,No,100,Other,9.999999
4/9/2025 20:20:50,No,17,Female,10
4/9/2025 20:25:42,No,16,Female,9
4/9/2025 21:04:31,Yes,17,Female,7
4/9/2025 21:04:40,Yes,16,Female,9
4/9/2025 21:05:05,No,18,Female,5
4/9/2025 21:05:21,Yes,18,Female,7
4/9/2025 21:11:40,Yes,17,Female,10
4/9/2025 21:13:13,No,17,Female,10
4/9/2025 21:13:28,No,17,Female,6
4/9/2025 21:13:47,Yes,18,Female,9
4/9/2025 21:13:53,No,17,Male,6
4/9/2025 21:14:15,Yes,18,Male,5
4/9/2025 21:14:18,No,17,Female,2
4/9/2025 21:16:19,Yes,18,Female,10
4/9/2025 21:16:51,No,16,Female,7
4/9/2025 21:16:57,No,17,Female,5
4/9/2025 21:18:56,No,16,Female,10
4/9/2025 21:20:52,Yes,18,Male,10
4/9/2025 21:21:47,No,16,Female,8
4/9/2025 21:22:15,,18,Female,5
4/9/2025 21:23:01,No,17,Female,10
4/9/2025 21:23:32,Yes,16,Female,10
4/9/2025 21:24:33,Yes,14,Male,10
4/9/2025 21:32:13,Yes,17,Female,7
4/9/2025 21:33:58,No,19,Female,5
4/9/2025 21:36:34,Yes,15,Female,6
4/9/2025 21:38:05,Yes,16,Male,10
4/9/2025 21:38:55,Yes,15,Male,7
4/9/2025 21:39:51,Yes,13,Male,10
4/9/2025 21:39:55,No,18,Other,7
4/9/2025 21:43:51,Yes,17,Male,10
4/9/2025 21:45:37,Yes,16,Female,10
4/9/2025 21:47:40,Yes,100,Female,10
4/9/2025 21:48:43,Yes,100,Female,1
4/9/2025 21:50:08,Yes,16,Female,10
4/9/2025 21:55:30,Yes,16,Female,4
4/9/2025 22:03:22,No,21,Other,10
4/9/2025 22:06:28,No,21,Female,9
4/9/2025 22:07:27,Yes,18,Male,10
4/9/2025 22:07:28,No,36,Male,10
4/9/2025 22:08:21,No,17,Female,5
4/9/2025 22:09:09,Yes,16,Female,10
4/9/2025 22:10:26,No,17,Female,7
4/9/2025 22:19:50,Yes,38,Male,10
4/9/2025 22:23:59,Yes,17,Female,8
4/9/2025 22:29:33,Yes,67,Female,10
4/9/2025 22:30:34,Yes,29,Female,10
4/9/2025 22:32:13,No,27,Male,10
4/9/2025 22:32:31,Yes,28,Female,9
4/9/2025 22:33:23,Yes,29,Other,9
4/9/2025 22:33:44,No,30,Male,8
4/9/2025 22:34:58,Yes,29,Female,6
4/9/2025 22:35:45,No,17,Female,7
4/9/2025 22:40:28,No,30,Other,10
4/9/2025 22:45:50,No,16,Female,9
4/9/2025 22:52:05,Yes,17,Male,10
4/9/2025 23:02:46,Yes,38,Male,8
4/9/2025 23:08:04,Yes,22,Female,10
4/9/2025 23:17:46,No,17,Female,8
4/9/2025 23:18:17,No,16,Female,4
4/9/2025 23:27:09,No,14,Male,7
4/10/2025 0:26:16,Yes,43,Other,10
4/10/2025 0:30:02,Yes,16,Female,10
4/10/2025 0:33:51,Yes,19,Female,10
4/10/2025 0:41:10,Yes,29,Female,10
4/10/2025 0:48:39,No,30,Male,10
4/10/2025 0:54:46,Yes,17,Male,6
4/10/2025 2:53:22,Yes,41,Female,7.5
4/10/2025 3:03:05,Yes,24,Female,7
4/10/2025 3:18:44,Yes,31,Female,10
4/10/2025 4:08:23,No,28,Male,10
4/10/2025 4:18:23,No,17,Female,5
4/10/2025 6:50:45,Yes,16,Female,9
4/10/2025 8:23:36,No,17,Female,8
4/10/2025 8:24:46,No,36,Female,10
4/10/2025 10:15:21,Yes,17,Male,9
4/10/2025 11:18:48,No,17,Male,10
4/10/2025 11:21:30,Yes,15,Male,5
4/10/2025 11:50:39,No,16,Male,10
4/10/2025 12:10:20,No,45,Female,10
4/10/2025 12:33:39,Yes,16,Female,5.0000001
4/10/2025 12:36:04,No,34,Male,10
4/10/2025 15:37:56,No,21,Male,10
4/10/2025 15:39:10,Yes,43,Male,10
4/10/2025 15:56:38,No,32,Female,7
4/10/2025 15:56:54,No,35,Male,10
4/10/2025 16:20:13,No,17,Female,7.5
4/10/2025 16:46:06,No,47,Male,10
4/10/2025 19:08:43,Yes,16,Female,9
4/10/2025 20:54:17,Yes,16,Female,4
4/10/2025 22:00:22,No,20,Male,10
4/10/2025 22:25:22,Yes,19,Female,8
4/11/2025 10:26:25,Yes,41,Female,10
4/11/2025 10:37:03,No,40,Male,9
4/11/2025 10:42:07,No,20,Male,10
4/11/2025 10:46:57,Yes,33,Male,9
4/11/2025 10:47:26,Yes,67,Male,10
4/11/2025 11:11:12,Yes,62,Male,10
4/11/2025 11:14:19,Yes,47,Male,10
4/11/2025 11:28:38,Yes,68,Female,10
4/11/2025 11:36:49,Yes,50,Male,10
4/11/2025 11:40:22,No,37,Female,10
4/11/2025 11:42:51,Yes,49,Male,8
4/11/2025 11:45:09,No,16,Male,8
4/11/2025 11:48:16,Yes,13,Other,5
4/11/2025 12:43:46,Yes,33,Male,5
4/11/2025 12:56:02,Yes,18,Male,10
4/11/2025 13:02:50,Yes,82,Female,10
4/11/2025 13:12:31,Yes,50,Other,10
4/11/2025 13:53:32,Yes,19,Female,7
4/11/2025 14:32:34,No,16,Female,10
4/11/2025 14:40:28,No,29,Female,10
4/11/2025 14:40:38,No,41,Other,9
4/11/2025 14:45:04,No,74,Female,10
4/11/2025 15:40:39,Yes,69,Other,6
4/11/2025 16:37:29,No,47,Female,10
4/11/2025 18:22:44,No,33,Male,8
4/11/2025 18:28:14,Yes,41,Female,10
4/11/2025 19:04:00,Yes,79,Female,10
4/11/2025 19:43:07,No,51,Female,9
4/11/2025 19:49:01,Yes,22,Female,9
4/11/2025 20:35:58,Yes,55,Female,
4/11/2025 20:36:24,Yes,56,Female,10
4/11/2025 20:37:10,Yes,54,Male,10
4/11/2025 21:47:58,Yes,52,Female,8
4/12/2025 1:54:44,No,38,Female,10
4/12/2025 4:25:42,No,20,Male,10
4/12/2025 12:40:06,Yes,54,Female,10
4/12/2025 12:40:25,Yes,55,Male,9
4/12/2025 17:31:29,No,30,Male,6
4/12/2025 17:31:50,No,21,Female,10
4/12/2025 17:32:12,No,14,Female,7
4/12/2025 17:33:44,No,20,Female,8
4/12/2025 17:34:21,No,17,Male,9
4/12/2025 17:34:40,Yes,18,Female,7
4/12/2025 17:35:33,No,53,Other,9
4/12/2025 17:35:46,No,17,Female,3
4/12/2025 17:35:56,Yes,23,Male,10
4/12/2025 17:36:21,Yes,16,Male,4
4/12/2025 17:37:44,Yes,29,Female,8
4/12/2025 17:38:02,No,16,Female,9
4/12/2025 17:38:13,No,32,Female,7
4/12/2025 17:38:28,Yes,25,Male,1
4/12/2025 17:38:43,No,29,Male,8
4/12/2025 17:39:42,No,79,Male,9
