Timestamp,Yes_or_No,Age,Gender,Confidence_Level
4/9/2025 19:28:24,No,16,Female,7
4/9/2025 19:30:38,Yes,19,Female,9
4/9/2025 19:35:40,No,16,Female,10
4/9/2025 19:45:09,Yes,17,Female,8
4/9/2025 19:48:31,Yes,17,Female,9
4/9/2025 19:53:53,Yes,17,Male,10
4/9/2025 20:00:45,Yes,17,Male,3
4/9/2025 20:02:06,No,16,Female,10
4/9/2025 20:05:33,No,100,Other,9.999999
4/9/2025 20:20:50,No,17,Female,10
4/9/2025 20:25:42,No,16,Female,9
4/9/2025 21:04:31,Yes,17,Female,7
4/9/2025 21:04:40,Yes,16,Female,9
4/9/2025 21:05:05,No,18,Female,5
4/9/2025 21:05:21,Yes,18,Female,7
4/9/2025 21:11:40,Yes,17,Female,10
4/9/2025 21:13:13,No,17,Female,10
4/9/2025 21:13:28,No,17,Female,6
4/9/2025 21:13:47,Yes,18,Female,9
4/9/2025 21:13:53,No,17,Male,6
4/9/2025 21:14:15,Yes,18,Male,5
4/9/2025 21:14:18,No,17,Female,2
4/9/2025 21:16:19,Yes,18,Female,10
4/9/2025 21:16:51,No,16,Female,7
4/9/2025 21:16:57,No,17,Female,5
4/9/2025 21:18:56,No,16,Female,10
4/9/2025 21:20:52,Yes,18,Male,10
4/9/2025 21:21:47,No,16,Female,8
4/9/2025 21:22:15,,18,Female,5
4/9/2025 21:23:01,No,17,Female,10
4/9/2025 21:23:32,Yes,16,Female,10
4/9/2025 21:24:33,Yes,14,Male,10
4/9/2025 21:32:13,Yes,17,Female,7
4/9/2025 21:33:58,No,19,Female,5
4/9/2025 21:36:34,Yes,15,Female,6
4/9/2025 21:38:05,Yes,16,Male,10
4/9/2025 21:38:55,Yes,15,Male,7
4/9/2025 21:39:51,Yes,13,Male,10
4/9/2025 21:39:55,No,18,Other,7
4/9/2025 21:43:51,Yes,17,Male,10
4/9/2025 21:45:37,Yes,16,Female,10
4/9/2025 21:47:40,Yes,100,Female,10
4/9/2025 21:48:43,Yes,100,Female,1
4/9/2025 21:50:08,Yes,16,Female,10
4/9/2025 21:55:30,Yes,16,Female,4
4/9/2025 22:03:22,No,21,Other,10
4/9/2025 22:06:28,No,21,Female,9
4/9/2025 22:07:27,Yes,18,Male,10
4/9/2025 22:07:28,No,36,Male,10
4/9/2025 22:08:21,No,17,Female,5
4/9/2025 22:09:09,Yes,16,Female,10
4/9/2025 22:10:26,No,17,Female,7
4/9/2025 22:19:50,Yes,38,Male,10
4/9/2025 22:23:59,Yes,17,Female,8
4/9/2025 22:29:33,Yes,67,Female,10
4/9/2025 22:30:34,Yes,29,Female,10
4/9/2025 22:32:13,No,27,Male,10
4/9/2025 22:32:31,Yes,28,Female,9
4/9/2025 22:33:23,Yes,29,Other,9
4/9/2025 22:33:44,No,30,Male,8
4/9/2025 22:34:58,Yes,29,Female,6
4/9/2025 22:35:45,No,17,Female,7
4/9/2025 22:40:28,No,30,Other,10
4/9/2025 22:45:50,No,16,Female,9
4/9/2025 22:52:05,Yes,17,Male,10
4/9/2025 23:02:46,Yes,38,Male,8
4/9/2025 23:08:04,Yes,22,Female,10
4/9/2025 23:17:46,No,17,Female,8
4/9/2025 23:18:17,No,16,Female,4
4/9/2025 23:27:09,No,14,Male,7
4/10/2025 0:26:16,Yes,43,Other,10
4/10/2025 0:30:02,Yes,16,Female,10
4/10/2025 0:33:51,Yes,19,Female,10
4/10/2025 0:41:10,Yes,29,Female,10
4/10/2025 0:48:39,No,30,Male,10
4/10/2025 0:54:46,Yes,17,Male,6
4/10/2025 2:53:22,Yes,41,Female,7.5
4/10/2025 3:03:05,Yes,24,Female,7
4/10/2025 3:18:44,Yes,31,Female,10
4/10/2025 4:08:23,No,28,Male,10
4/10/2025 4:18:23,No,17,Female,5
4/10/2025 6:50:45,Yes,16,Female,9
4/10/2025 8:23:36,No,17,Female,8
4/10/2025 8:24:46,No,36,Female,10
4/10/2025 10:15:21,Yes,17,Male,9
4/10/2025 11:18:48,No,17,Male,10
4/10/2025 11:21:30,Yes,15,Male,5
